Status,Time,Card_Type,City,Amount,ID,Amount_Type,Hour
Success,2025-09-07 10:48:00,Visa,Tehran,1427657.0,98,Payment,10
Success,2025-09-20 13:10:00,Master Card,Tehran,1578078.0,52,Payment,13
Fail,2025-09-29 03:27:00,Visa,Tehran,250000.0,20,Payment,3
Success,2025-09-15 13:13:00,Discover,Isfahan,0.0,40,Zero_Amount,13
Success,2025-09-11 11:11:00,Visa,Tehran,1782689.0,59,Payment,11
Fail,2025-09-08 21:21:00,Discover,Tehran,1050805.0,77,Payment,21
Success,2025-09-29 22:27:00,Visa,Tabriz,1387769.0,14,Payment,22
Fail,2025-09-21 03:00:00,Master Card,Tehran,1502601.0,44,Payment,3
Success,2025-09-07 12:12:00,Discover,Isfahan,-999999.0,87,Refund,12
Fail,2025-09-26 07:32:00,Visa,Tehran,0.0,82,Zero_Amount,7
Success,2025-09-19 12:12:00,Visa,Tehran,200000.0,48,Payment,12
Fail,2025-09-23 19:19:00,Amex,Shiraz,914282.0,94,Payment,19
Fail,2025-09-11 07:32:00,Visa,Tehran,774681.0,43,Payment,7
Fail,2025-09-11 14:30:00,Visa,Isfahan,1305967.0,16,Payment,14
Fail,2025-09-24 11:11:00,Visa,Karaj,177050.0,35,Payment,11
Fail,2025-09-21 11:11:00,Master Card,Tehran,650000.0,53,Payment,11
Success,2025-09-04 10:05:00,Amex,Ahvaz,12345.0,34,Payment,10
Success,2025-09-08 19:51:00,Discover,Tehran,-999999.0,3,Refund,19
Success,2025-09-24 03:00:00,Discover,Karaj,50200.0,68,Payment,3
Fail,2025-09-03 17:17:00,Master Card,Tehran,1305967.0,5,Payment,17
Fail,2025-09-22 00:00:00,Discover,Ahvaz,471227.0,10,Payment,0
Fail,2025-09-21 11:11:00,Unknown,Karaj,250000.0,52,Payment,11
Fail,2025-09-02 11:11:00,Visa,Qom,177050.0,29,Payment,11
Fail,2025-09-24 13:10:00,Discover,Tabriz,471227.0,97,Payment,13
Success,2025-09-12 16:40:00,Visa,Shiraz,9999999999.0,31,Payment,16
Success,2025-09-30 16:40:00,Visa,Isfahan,976246.0,66,Payment,16
Fail,2025-09-06 01:01:00,Visa,Tehran,120000.0,76,Payment,1
Success,2025-09-02 16:40:00,Visa,Mashhad,1050805.0,92,Payment,16
Success,2025-09-28 03:27:00,Master Card,Shiraz,0.0,69,Zero_Amount,3
Fail,2025-09-21 21:10:00,Discover,Tehran,1158713.0,37,Payment,21
Success,2025-09-01 14:30:00,Master Card,Shiraz,450000.0,27,Payment,14
Fail,2025-09-12 22:27:00,Discover,Shiraz,-999999.0,88,Refund,22
Fail,2025-09-26 03:27:00,Visa,Tehran,-999999.0,33,Refund,3
Success,2025-09-22 02:54:00,Discover,Isfahan,100.5,68,Payment,2
Fail,2025-09-29 11:11:00,Amex,Tehran,-999999.0,59,Refund,11
Success,2025-09-12 19:51:00,Visa,Tehran,9999999999.0,64,Payment,19
Fail,2025-09-25 12:34:00,Discover,Isfahan,-5000.0,85,Refund,12
Success,2025-09-17 14:02:00,Discover,Isfahan,99999.0,89,Payment,14
Success,2025-09-27 02:24:00,Master Card,Tehran,1578078.0,44,Payment,2
Fail,2025-09-27 11:11:00,Amex,Tehran,63489.0,96,Payment,11
Fail,2025-09-10 19:29:00,Master Card,Tabriz,450000.0,89,Payment,19
Success,2025-09-28 19:40:00,Discover,Tehran,177050.0,49,Payment,19
Fail,2025-09-28 12:12:00,Amex,Tehran,1050805.0,53,Payment,12
Fail,2025-09-16 07:32:00,Discover,Karaj,-5000.0,74,Refund,7
Fail,2025-09-15 11:11:00,Master Card,Isfahan,1578078.0,49,Payment,11
Success,2025-09-30 21:23:00,Visa,Tehran,343679.0,66,Payment,21
Success,2025-09-30 09:09:00,Discover,Qom,555555.0,96,Payment,9
Fail,2025-09-15 05:23:00,Master Card,Shiraz,471227.0,63,Payment,5
Success,2025-09-30 01:01:00,Master Card,Isfahan,976246.0,25,Payment,1
Success,2025-09-19 14:00:00,Amex,Karaj,343679.0,4,Payment,14
Fail,2025-09-12 21:23:00,Visa,Karaj,1463119.0,51,Payment,21
Fail,2025-09-23 08:08:00,Visa,Ahvaz,200000.0,11,Payment,8
Success,2025-09-20 02:24:00,Master Card,Mashhad,976246.0,17,Payment,2
Success,2025-09-25 07:32:00,Master Card,Ahvaz,9999999999.0,66,Payment,7
Success,2025-09-03 18:12:00,Amex,Tehran,774681.0,70,Payment,18
Success,2025-09-05 02:30:00,Visa,Karaj,1578078.0,73,Payment,2
Fail,2025-09-19 02:24:00,Visa,Tabriz,205000.0,69,Payment,2
Fail,2025-09-07 02:30:00,Master Card,Tabriz,1000.0,84,Payment,2
Fail,2025-09-21 07:08:00,Amex,Tehran,-5000.0,29,Refund,7
Success,2025-09-09 14:02:00,Master Card,Tehran,419089.0,85,Payment,14
Fail,2025-09-07 09:09:00,Discover,Unknown,0.0,73,Zero_Amount,9
Fail,2025-09-18 16:16:00,Visa,Isfahan,9999999999.0,93,Payment,16
Success,2025-09-04 16:40:00,Unknown,Tehran,-5000.0,72,Refund,16
Fail,2025-09-25 19:29:00,Master Card,Tehran,0.0,96,Zero_Amount,19
Success,2025-09-28 14:11:00,Master Card,Tabriz,0.0,20,Zero_Amount,14
Fail,2025-09-14 13:10:00,Discover,Qom,100.5,27,Payment,13
Success,2025-09-18 03:27:00,Visa,Isfahan,1578078.0,8,Payment,3
Success,2025-09-26 16:40:00,Amex,Shiraz,1427657.0,85,Payment,16
Fail,2025-09-09 13:13:00,Visa,Isfahan,-999999.0,61,Refund,13
Fail,2025-09-26 12:12:00,Master Card,Karaj,0.0,28,Zero_Amount,12
Fail,2025-09-21 21:21:00,Master Card,Isfahan,0.0,88,Zero_Amount,21
Fail,2025-09-02 06:30:00,Visa,Qom,1768588.0,70,Payment,6
Success,2025-09-20 11:11:00,Visa,Tabriz,555555.0,3,Payment,11
Success,2025-09-28 04:04:00,Amex,Karaj,-5000.0,69,Refund,4
Success,2025-09-15 07:07:00,Discover,Shiraz,205000.0,73,Payment,7
Fail,2025-09-28 13:10:00,Master Card,Isfahan,419089.0,7,Payment,13
Fail,2025-09-07 06:06:00,Master Card,Tabriz,914465.0,60,Payment,6
Success,2025-09-12 23:59:00,Visa,Shiraz,545116.0,4,Payment,23
Fail,2025-09-29 21:23:00,Visa,Tehran,976246.0,5,Payment,21
Fail,2025-09-08 19:40:00,Master Card,Tehran,-5000.0,11,Refund,19
Fail,2025-09-15 23:17:00,Visa,Ahvaz,0.0,15,Zero_Amount,23
Success,2025-09-03 05:23:00,Master Card,Qom,585954.0,64,Payment,5
Fail,2025-09-14 07:08:00,Visa,Mashhad,583952.0,99,Payment,7
Fail,2025-09-17 01:51:00,Visa,Tehran,1883871.0,13,Payment,1
Fail,2025-09-04 05:23:00,Visa,Qom,100.5,7,Payment,5
Success,2025-09-18 14:00:00,Master Card,Karaj,0.0,6,Zero_Amount,14
Fail,2025-09-08 14:00:00,Master Card,Mashhad,583952.0,56,Payment,14
Success,2025-09-04 10:05:00,Master Card,Tabriz,-1.0,64,Refund,10
Success,2025-09-02 17:07:00,Master Card,Karaj,1578078.0,50,Payment,17
Fail,2025-09-30 04:04:00,Master Card,Tehran,99999.0,30,Payment,4
Success,2025-09-06 08:08:00,Visa,Karaj,0.0,22,Zero_Amount,8
Success,2025-09-22 02:54:00,Master Card,Tehran,1000.0,25,Payment,2
Fail,2025-09-10 19:51:00,Amex,Tabriz,-999999.0,28,Refund,19
Success,2025-09-04 03:27:00,Amex,Mashhad,1387769.0,84,Payment,3
Success,2025-09-22 04:15:00,Visa,Qom,-999999.0,39,Refund,4
Fail,2025-09-29 16:16:00,Visa,Tehran,1782689.0,67,Payment,16
Success,2025-09-18 10:05:00,Visa,Tabriz,-5000.0,5,Refund,10
Fail,2025-09-26 14:11:00,Visa,Ahvaz,1472823.0,65,Payment,14
Success,2025-09-12 09:45:00,Discover,Karaj,1578078.0,15,Payment,9
Success,2025-09-02 16:40:00,Master Card,Karaj,100.5,91,Payment,16
Success,2025-09-10 02:20:00,Master Card,Tehran,585954.0,67,Payment,2
